../sets/biodeg.csv; 
[150, 100, 50]_relu; [150, 100, 50]_tanh; [100, 50, 10]_relu; [100, 50, 10]_tanh; [100, 50]_relu; [100, 50]_tanh; [70, 35]_relu; [70, 35]_tanh; [30, 10]_relu; [30, 10]_tanh; GaussianNB; BernoulliNB; knn_2; knn_3; knn_5; knn_10; knn_15; 
85.8044164037855; 83.2807570977918; 86.75078864353313; 86.43533123028391; 86.43533123028391; 85.17350157728707; 86.43533123028391; 85.48895899053628; 86.43533123028391; 88.32807570977917; 71.60883280757098; 78.86435331230284; 85.8044164037855; 83.59621451104101; 82.01892744479495; 83.2807570977918; 77.28706624605678; 
84.54258675078864; 81.70347003154575; 85.48895899053628; 86.43533123028391; 86.1198738170347; 83.59621451104101; 85.8044164037855; 82.33438485804416; 85.48895899053628; 86.1198738170347; 74.44794952681389; 77.28706624605678; 80.12618296529969; 82.64984227129337; 83.59621451104101; 82.01892744479495; 83.2807570977918; 
83.2807570977918; 79.49526813880126; 83.91167192429022; 80.7570977917981; 82.33438485804416; 82.96529968454259; 82.64984227129337; 80.7570977917981; 82.01892744479495; 82.96529968454259; 70.03154574132492; 76.02523659305994; 78.23343848580441; 78.23343848580441; 77.91798107255521; 77.91798107255521; 77.28706624605678; 
85.48895899053628; 83.59621451104101; 83.2807570977918; 85.8044164037855; 84.54258675078864; 82.64984227129337; 83.91167192429022; 84.54258675078864; 81.70347003154575; 80.7570977917981; 71.92429022082018; 76.34069400630915; 82.64984227129337; 80.4416403785489; 83.2807570977918; 80.4416403785489; 77.91798107255521; 
85.17350157728707; 85.48895899053628; 84.54258675078864; 85.48895899053628; 87.38170347003155; 83.59621451104101; 84.22712933753942; 85.17350157728707; 86.1198738170347; 82.33438485804416; 70.97791798107255; 77.28706624605678; 81.70347003154575; 80.7570977917981; 81.38801261829653; 78.86435331230284; 77.60252365930599; 
85.8044164037855; 83.59621451104101; 85.17350157728707; 83.91167192429022; 86.43533123028391; 83.91167192429022; 86.1198738170347; 85.8044164037855; 85.17350157728707; 84.22712933753942; 74.13249211356468; 78.86435331230284; 80.4416403785489; 83.2807570977918; 82.33438485804416; 82.64984227129337; 80.7570977917981; 
87.38170347003155; 82.01892744479495; 84.54258675078864; 84.54258675078864; 87.06624605678233; 82.64984227129337; 85.48895899053628; 80.7570977917981; 85.48895899053628; 86.75078864353313; 64.35331230283911; 75.0788643533123; 79.81072555205047; 78.86435331230284; 79.17981072555204; 75.70977917981072; 75.39432176656152; 
88.01261829652996; 87.38170347003155; 84.85804416403786; 84.22712933753942; 87.06624605678233; 82.33438485804416; 87.38170347003155; 88.95899053627761; 86.1198738170347; 86.75078864353313; 73.18611987381703; 79.17981072555204; 79.81072555205047; 79.49526813880126; 80.12618296529969; 80.7570977917981; 79.17981072555204; 
89.27444794952682; 83.2807570977918; 86.75078864353313; 84.85804416403786; 88.32807570977917; 84.85804416403786; 87.06624605678233; 84.54258675078864; 84.85804416403786; 85.48895899053628; 72.87066246056783; 79.81072555205047; 83.91167192429022; 82.01892744479495; 80.12618296529969; 81.38801261829653; 80.4416403785489; 
84.22712933753942; 86.75078864353313; 83.59621451104101; 84.22712933753942; 84.54258675078864; 84.22712933753942; 87.06624605678233; 82.96529968454259; 83.2807570977918; 83.91167192429022; 72.2397476340694; 77.91798107255521; 79.81072555205047; 81.38801261829653; 80.4416403785489; 78.86435331230284; 78.86435331230284; 
